title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,status,last_verified
DAV Chapter 5 - Stradley #5,dav-chapter-5-id,local,Chapter 5,dav,DAV,world-war-1,World War I,ID,idaho,Twin Falls County,twin-falls-county,id_16083,650 Addison Vet West STE 203,Twin Falls,83301,,,false,208-420-1242,,http://www.davmembersportal.org/chapters/ID/05,,,,,,5,"First, Monday, 7:00PM","650 Addison Vet West STE 203, Twin Falls, ID 83301",,
DAV Chapter 6 - Yellowstone #6,dav-chapter-6-id,local,Chapter 6,dav,DAV,world-war-1,World War I,ID,idaho,Jefferson County,jefferson-county,id_16051,485 Constitution Way,Idaho Falls,83402,43.5100358,-112.0636894,true,512-787-6728,,http://www.davmembersportal.org/chapters/ID/06,,,,,,6,"Second  Fourth, Thursday, 7:00PM","485 Constitution Way, Idaho Falls, ID 83402",,
DAV Chapter 9 - Fort Sherman #9,dav-chapter-9-id,local,Chapter 9,dav,DAV,world-war-1,World War I,ID,idaho,Kootenai County,kootenai-county,id_16055,1138 E. Poleline Ave.,Post Falls,83854,,,false,860-995-8779,,http://www.davmembersportal.org/chapters/ID/09,,,,,,9,"Fourth, Tuesday, 6:00PM","1138 E. Poleline Ave., Post Falls, ID 83854",,
DAV Chapter 10 - Mini Cassia #10,dav-chapter-10-id,local,Chapter 10,dav,DAV,world-war-1,World War I,ID,idaho,Minidoka County,minidoka-county,id_16067,12th and D Street,Rupert,83350,42.6235831,-113.6728401,true,208-312-7636,,http://www.davmembersportal.org/chapters/ID/10,,,,,,10,"Third, Tuesday, 7:00PM","12th and D Street, Rupert, ID 83350",,
DAV Chapter 13 - Nampa #13,dav-chapter-13-id,local,Chapter 13,dav,DAV,world-war-1,World War I,ID,idaho,Canyon County,canyon-county,id_16027,"619 12th Ave S
(First Christian Church)",Nampa,83651,,,false,707-599-5325,,http://www.davmembersportal.org/chapters/ID/13,,,,,,13,"Third, Thursday, 6:30PM","619 12th Ave S
(First Christian Church), Nampa, ID 83651",,
DAV Chapter 17 - Jim Mc Namar #17,dav-chapter-17-id,local,Chapter 17,dav,DAV,world-war-1,World War I,ID,idaho,Elmore County,elmore-county,id_16039,515 2nd St,Mountain Home,83647,,,false,208-580-9571,,http://www.davmembersportal.org/chapters/ID/17,,,,,,17,"First, Thursday, 7:00PM","515 2nd St, Mountain Home, ID 83647",,
DAV Chapter 18 - Lewiston #18,dav-chapter-18-id,local,Chapter 18,dav,DAV,world-war-1,World War I,ID,idaho,Nez Perce County,nez-perce-county,id_16069,920 Bryden Ave #114,Lewiston,83501,,,false,208-553-6523,,http://www.davmembersportal.org/chapters/ID/18,,,,,,18,"3rd Thursday, 7:00 PM","920 Bryden Ave #114, Lewiston, ID 83501",defunct,2026-04-29
DAV Chapter 22 - Albert W Jardine #22,dav-chapter-22-id,local,Chapter 22,dav,DAV,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,"Golden Corral Buffet & Grill
8460 W Emerald St",Boise,83704,43.62104799999999,-116.1897679,true,208-606-9314,,http://www.davmembersportal.org/chapters/ID/22,,,,,,22,"Second, Wednesday, 6:30PM","Golden Corral Buffet & Grill
8460 W Emerald St, Boise, ID 83704",,
DAV Chapter 23 - Payette County #23,dav-chapter-23-id,local,Chapter 23,dav,DAV,world-war-1,World War I,ID,idaho,Payette County,payette-county,id_16075,114 New Plymouth Ave.,New Plymouth,83605,,,false,208-899-1588,,http://www.davmembersportal.org/chapters/ID/23,,,,,,23,"Fourth, Monday, 7:00AM","114 New Plymouth Ave., New Plymouth, ID 83605",,
DAV Chapter 28 - Bonners Ferry #28,dav-chapter-28-id,local,Chapter 28,dav,DAV,world-war-1,World War I,ID,idaho,Bonner County,bonner-county,id_16017,1325 Pine St,Sandpoint,83864,48.6854693,-116.3191121,true,208-301-8152,,http://www.davmembersportal.org/chapters/ID/28,,,,,,28,"Third, Thursday, 1:00PM","1325 Pine St, Sandpoint, ID 83864",,
DAV Chapter 1 - Heart Of Illinois #1,dav-chapter-1-il,local,Chapter 1,dav,DAV,world-war-1,World War I,IL,illinois,Peoria County,peoria-county,il_17143,110 E McClure,Peoria,61603,,,false,309-678-8890,,http://www.davmembersportal.org/chapters/IL/01,,,,,,1,"First, Wednesday, 6:00PM","110 E McClure, Peoria, IL 61603",,
DAV Chapter 5 - Dupage Veterans #5,dav-chapter-5-il,local,Chapter 5,dav,DAV,world-war-1,World War I,IL,illinois,Dupage County,dupage-county,il_17043,310 W Butterfield Rd,Elmhurst,60126,,,false,847-977-7312,,http://www.davmembersportal.org/chapters/IL/05,,,,,,5,"Fourth, Monday, 6:30PM","310 W Butterfield Rd, Elmhurst, IL 60126",,
DAV Chapter 6 - J H Patton #6,dav-chapter-6-il,local,Chapter 6,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,809 East 42nd Place,Chicago,60616,41.7179751,-87.60943879999999,true,773-551-9574,,http://www.davmembersportal.org/chapters/IL/06,,,,,,6,"Second, Tuesday, 7:00PM","809 East 42nd Place, Chicago, IL 60616",,
DAV Chapter 7 - Effingham Co #7,dav-chapter-7-il,local,Chapter 7,dav,DAV,world-war-1,World War I,IL,illinois,Effingham County,effingham-county,il_17049,405 Vulcan Dr,Effingham,62401,,,false,217-347-0551,,http://www.davmembersportal.org/chapters/IL/07,,,,,,7,"Third, Tuesday, 7:00PM","405 Vulcan Dr, Effingham, IL 62401",,
DAV Chapter 17 - Decatur Macon Co #17,dav-chapter-17-il,local,Chapter 17,dav,DAV,world-war-1,World War I,IL,illinois,Macon County,macon-county,il_17115,1700 N Lake Shore Dr,Decatur,62526,,,false,217-428-7867,,http://www.davmembersportal.org/chapters/IL/17,,,,,,17,"Third, Wednesday, 6:00PM","1700 N Lake Shore Dr, Decatur, IL 62526",,
DAV Chapter 24 - Forget Me Not #24,dav-chapter-24-il,local,Chapter 24,dav,DAV,world-war-1,World War I,IL,illinois,St. Clair County,st-clair-county,il_17163,"317 Marketplace Dr,",Freeburg,62243,38.544687,-90.0296612,true,618-719-6688,,http://www.davmembersportal.org/chapters/IL/24,,,,,,24,"Third, Thursday, 6:30PM","317 Marketplace Dr,, Freeburg, IL 62243",,
DAV Chapter 28 - Vets Memorial #28,dav-chapter-28-il,local,Chapter 28,dav,DAV,world-war-1,World War I,IL,illinois,Jefferson County,jefferson-county,il_17081,"800 S 27th St
(Veterans Park)",Mount Vernon,62864,38.3090132,-88.9232064,true,618-315-8876,,http://www.davmembersportal.org/chapters/IL/28,,,,,,28,"Second, Tuesday, 6:00PM","800 S 27th St
(Veterans Park), Mount Vernon, IL 62864",,
DAV Chapter 29 - Black Hawk Life #29,dav-chapter-29-il,local,Chapter 29,dav,DAV,world-war-1,World War I,IL,illinois,Winnebago County,winnebago-county,il_17201,211 N Main St,Rockford,61101,,,false,703-655-0255,,http://www.davmembersportal.org/chapters/IL/29,,,,,,29,"Third, Tuesday, 5:00PM","211 N Main St, Rockford, IL 61101",,
DAV Chapter 32 - Quincy Adams Co #32,dav-chapter-32-il,local,Chapter 32,dav,DAV,world-war-1,World War I,IL,illinois,Adams County,adams-county,il_17001,1707 North 12th St,Quincy,62301,39.9539598,-91.4018719,true,573-541-1352,,http://www.davmembersportal.org/chapters/IL/32,,,,,,32,"First, Thursday, 6:00PM","1707 North 12th St, Quincy, IL 62301",,
DAV Chapter 33 - Verdun #33,dav-chapter-33-il,local,Chapter 33,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,7640 Jackson Blvd,Forest Park,60130,41.875451,-87.8155201,true,760-696-0013,,http://www.davmembersportal.org/chapters/IL/33,,,,,,33,"Second, Thursday, 7:00PM","7640 Jackson Blvd, Forest Park, IL 60130",,
DAV Chapter 34 - Kankakee County #34,dav-chapter-34-il,local,Chapter 34,dav,DAV,world-war-1,World War I,IL,illinois,Kankakee County,kankakee-county,il_17091,700 Main St NW,Bourbonnais,60914,41.15920819999999,-87.8880879,true,815-953-4572,,http://www.davmembersportal.org/chapters/IL/34,,,,,,34,"Third, Thursday, 7:00PM","700 Main St NW, Bourbonnais, IL 60914",,
DAV Chapter 36 - Wht Eagle-Lgn Sq #36,dav-chapter-36-il,local,Chapter 36,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,7255 N Caldwell,Niles,60714,42.0054956,-87.7945771,true,708-774-1578,,http://www.davmembersportal.org/chapters/IL/36,,,,,,36,"3rd Wednesday, 7:00 PM","7255 N Caldwell, Niles, IL 60714",defunct,2026-04-29
DAV Chapter 42 - John Hannan #42,dav-chapter-42-il,local,Chapter 42,dav,DAV,world-war-1,World War I,IL,illinois,Dupage County,dupage-county,il_17043,446 W Lake St,Addison,60101,41.9379163,-88.0003115,true,630-461-4232,,http://www.davmembersportal.org/chapters/IL/42,,,,,,42,"Third, Friday, 6:00PM","446 W Lake St, Addison, IL 60101",,
DAV Chapter 47 - D Monico Bus-Pro #47,dav-chapter-47-il,local,Chapter 47,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,3271 S Harlem Ave,Berwyn,60402,,,false,815-613-6960,,http://www.davmembersportal.org/chapters/IL/47,,,,,,47,"Third, Wednesday, 11:30AM","3271 S Harlem Ave, Berwyn, IL 60402",,
DAV Chapter 51 - Franklin Co #51,dav-chapter-51-il,local,Chapter 51,dav,DAV,world-war-1,World War I,IL,illinois,Franklin County,franklin-county,il_17055,901 Public Square,Benton,62812,,,false,618-944-0904,,http://www.davmembersportal.org/chapters/IL/51,,,,,,51,"Fourth, Thursday, 5:30PM","901 Public Square, Benton, IL 62812",,
DAV Chapter 53 - Quad City #53,dav-chapter-53-il,local,Chapter 53,dav,DAV,world-war-1,World War I,IL,illinois,Madison County,madison-county,il_17119,3401 Century Dr,Granite City,62040,,,false,618-876-7816,,http://www.davmembersportal.org/chapters/IL/53,,,,,,53,"Third, Tuesday, 6:00PM","3401 Century Dr, Granite City, IL 62040",,
DAV Chapter 60 - Mc Lean County #60,dav-chapter-60-il,local,Chapter 60,dav,DAV,world-war-1,World War I,IL,illinois,Mclean County,mclean-county,il_17113,1006 E Lincoln St,Bloomington,61701,40.450919,-89.0273982,true,309-310-8747,,http://www.davmembersportal.org/chapters/IL/60,,,,,,60,"Fourth, Wednesday, 5:30PM","1006 E Lincoln St, Bloomington, IL 61701",,
DAV Chapter 69 - Jackson County #69,dav-chapter-69-il,local,Chapter 69,dav,DAV,world-war-1,World War I,IL,illinois,Jackson County,jackson-county,il_17077,409 N Springer St,Carbondale,62901,37.7647234,-89.3385181,true,618-694-3349,,http://www.davmembersportal.org/chapters/IL/69,,,,,,69,"Second, Tuesday, 2:00PM","409 N Springer St, Carbondale, IL 62901",,
DAV Chapter 71 - Williamson Co #71,dav-chapter-71-il,local,Chapter 71,dav,DAV,world-war-1,World War I,IL,illinois,,,il_unknown,1305 Crane dr,Marion,62959,,,false,618-889-7427,,http://www.davmembersportal.org/chapters/IL/71,,,,,,71,"Second, Wednesday, 6:00PM","1305 Crane dr, Marion, IL 62959",,
DAV Chapter 76 - Egyptian Gateway #76,dav-chapter-76-il,local,Chapter 76,dav,DAV,world-war-1,World War I,IL,illinois,Washington County,washington-county,il_17189,521 N Hickory St,Centralia,62801,,,false,618-204-8832,,http://www.davmembersportal.org/chapters/IL/76,,,,,,76,"Fourth, Monday, 6:30PM","521 N Hickory St, Centralia, IL 62801",,
DAV Chapter 80 - Bean Capitol #80,dav-chapter-80-il,local,Chapter 80,dav,DAV,world-war-1,World War I,IL,illinois,Wayne County,wayne-county,il_17191,201 E Court st,Fairfield,62837,,,false,618-302-1609,,http://www.davmembersportal.org/chapters/IL/80,,,,,,80,"2nd Thursday, 7:00 PM","201 E Court st, Fairfield, IL 62837",defunct,2026-04-29
DAV Chapter 84 - A G Tricentennial #84,dav-chapter-84-il,local,Chapter 84,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,4428 Midlothian Tpke,Crestwood,60418,41.71915389999999,-87.75082479999999,true,708-921-9008,,http://www.davmembersportal.org/chapters/IL/84,,,,,,84,None,"4428 Midlothian Tpke, Crestwood, IL 60418",,
DAV Chapter 86 - Chief Shabbona #86,dav-chapter-86-il,local,Chapter 86,dav,DAV,world-war-1,World War I,IL,illinois,Kendall County,kendall-county,il_17093,212 W Washington St,Morris,60450,,,false,815-252-8142,,http://www.davmembersportal.org/chapters/IL/86,,,,,,86,"Third, Wednesday, 7:00PM","212 W Washington St, Morris, IL 60450",,
DAV Chapter 90 - Jack Graichen Mem #90,dav-chapter-90-il,local,Chapter 90,dav,DAV,world-war-1,World War I,IL,illinois,Madison County,madison-county,il_17119,180 N Main St,Glen Carbon,62034,38.7488025,-89.98265099999999,true,618-539-0101,,http://www.davmembersportal.org/chapters/IL/90,,,,,,90,"First, Thursday, 7:00PM","180 N Main St, Glen Carbon, IL 62034",,
DAV Chapter 103 - Will County #103,dav-chapter-103-il,local,Chapter 103,dav,DAV,world-war-1,World War I,IL,illinois,Will County,will-county,il_17197,323 Old Hickory Rd,New Lenox,60451,41.519531,-87.9769622,true,708-267-2805,,http://www.davmembersportal.org/chapters/IL/103,,,,,,103,"Last, Wednesday, 7:30PM","323 Old Hickory Rd, New Lenox, IL 60451",,
DAV Chapter 2 - Lt Col C Bailey #2,dav-chapter-2-in,local,Chapter 2,dav,DAV,world-war-1,World War I,IN,indiana,Monroe County,monroe-county,in_18105,515 X Street,Bedford,47421,,,false,334-332-7762,,http://www.davmembersportal.org/chapters/IN/02,,,,,,2,"Third, Thursday, 6:00PM","515 X Street, Bedford, IN 47421",,
DAV Chapter 3 - Dr Worthington #3,dav-chapter-3-in,local,Chapter 3,dav,DAV,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,40 E St Clair St,Indianapolis,46204,39.76909,-86.158018,true,317-916-3615,,http://www.davmembersportal.org/chapters/IN/03,,,,,,3,"First, Monday, 6:00PM","40 E St Clair St, Indianapolis, IN 46204",,
DAV Chapter 5 - Frank H Dailey #5,dav-chapter-5-in,local,Chapter 5,dav,DAV,world-war-1,World War I,IN,indiana,Grant County,grant-county,in_18053,600 S Washington St,Marion,46953,40.5234374,-85.6298836,true,765-667-0346,,http://www.davmembersportal.org/chapters/IN/05,,,,,,5,"1st Monday, 1:00 PM","600 S Washington St, Marion, IN 46953",defunct,2026-04-29
DAV Chapter 7 - James B Gresham #7,dav-chapter-7-in,local,Chapter 7,dav,DAV,world-war-1,World War I,IN,indiana,Vanderburgh County,vanderburgh-county,in_18163,201 NW 4th St STE 106,Evansville,47708,,,false,812-768-6949,,http://www.davmembersportal.org/chapters/IN/07,,,,,,7,"First, Tuesday, 6:30PM","201 NW 4th St STE 106, Evansville, IN 47708",,
DAV Chapter 9 - Leon Von Schepper #9,dav-chapter-9-in,local,Chapter 9,dav,DAV,world-war-1,World War I,IN,indiana,Vigo County,vigo-county,in_18167,10 W Johnson Ave,Terre Haute,47802,,,false,812-229-5168,,http://www.davmembersportal.org/chapters/IN/09,,,,,,9,"3rd Monday, 7:00 PM","10 W Johnson Ave, Terre Haute, IN 47802",defunct,2026-04-29
DAV Chapter 10 - Vincennes #10,dav-chapter-10-in,local,Chapter 10,dav,DAV,world-war-1,World War I,IN,indiana,Knox County,knox-county,in_18083,904 S 17th St,Vincennes,47591,,,false,812-324-2124,,http://www.davmembersportal.org/chapters/IN/10,,,,,,10,"2nd Monday, 7:00 PM","904 S 17th St, Vincennes, IN 47591",defunct,2026-04-29
DAV Chapter 12 - Anderson #12,dav-chapter-12-in,local,Chapter 12,dav,DAV,world-war-1,World War I,IN,indiana,Madison County,madison-county,in_18095,"111 E 12th St
3rd Floor (Meeting Room)",Anderson,46016,,,false,724-472-7298,,http://www.davmembersportal.org/chapters/IN/12,,,,,,12,"Third, Thursday, 5:30PM","111 E 12th St
3rd Floor (Meeting Room), Anderson, IN 46016",,
DAV Chapter 15 - Goshen Mem #15,dav-chapter-15-in,local,Chapter 15,dav,DAV,world-war-1,World War I,IN,indiana,Elkhart County,elkhart-county,in_18039,708 W Pike St,Goshen,46526,,,false,574-533-2924,,http://www.davmembersportal.org/chapters/IN/15,,,,,,15,"Third, Tuesday, 6:00PM","708 W Pike St, Goshen, IN 46526",,
DAV Chapter 17 - Hammond #17,dav-chapter-17-in,local,Chapter 17,dav,DAV,world-war-1,World War I,IN,indiana,Lake County,lake-county,in_18089,5820 S Hohman Ave,Hammond,46320,,,false,219-629-0594,,http://www.davmembersportal.org/chapters/IN/17,,,,,,17,"First, Thursday, 7:00PM","5820 S Hohman Ave, Hammond, IN 46320",,
DAV Chapter 19 - Elkhart #19,dav-chapter-19-in,local,Chapter 19,dav,DAV,world-war-1,World War I,IN,indiana,Elkhart County,elkhart-county,in_18039,"Elkhart Public Library
300 second st",Elkhart,46516,41.6769723,-85.9182405,true,574-215-8847,,http://www.davmembersportal.org/chapters/IN/19,,,,,,19,"First, Thursday, 6:00PM","Elkhart Public Library
300 second st, Elkhart, IN 46516",,
DAV Chapter 23 - Danny Bruce #23,dav-chapter-23-in,local,Chapter 23,dav,DAV,world-war-1,World War I,IN,indiana,Porter County,porter-county,in_18127,"2301 Ohio St
(DAV Chapter Building)",Michigan City,46360,41.6992281,-86.9040794,true,219-210-7106,,http://www.davmembersportal.org/chapters/IN/23,,,,,,23,"First, Monday, 6:00PM","2301 Ohio St
(DAV Chapter Building), Michigan City, IN 46360",,
DAV Chapter 27 - Mary T Klinker #27,dav-chapter-27-in,local,Chapter 27,dav,DAV,world-war-1,World War I,IN,indiana,Tippecanoe County,tippecanoe-county,in_18157,1421 N Creasy Ln,Lafayette,47905,40.4714249,-86.8909632,true,765-412-7207,,http://www.davmembersportal.org/chapters/IN/27,,,,,,27,"Second, Sunday, 2:30PM","1421 N Creasy Ln, Lafayette, IN 47905",,
DAV Chapter 28 - Kokomo #28,dav-chapter-28-in,local,Chapter 28,dav,DAV,world-war-1,World War I,IN,indiana,Tipton County,tipton-county,in_18159,3706 S Lafountain St. Suite C,Kokomo,46902,,,false,765-860-5042,,http://www.davmembersportal.org/chapters/IN/28,,,,,,28,"First, Tuesday, 6:00PM","3706 S Lafountain St. Suite C, Kokomo, IN 46902",,
DAV Chapter 36 - Posey County #36,dav-chapter-36-in,local,Chapter 36,dav,DAV,world-war-1,World War I,IN,indiana,Posey County,posey-county,in_18129,126 E 3rd Street,Mount Vernon,47620,,,false,812-430-9182,,http://www.davmembersportal.org/chapters/IN/36,,,,,,36,"1st Tuesday, 7:00 PM","126 E 3rd Street, Mount Vernon, IN 47620",defunct,2026-04-29
DAV Chapter 40 - Ft Wayne #40,dav-chapter-40-in,local,Chapter 40,dav,DAV,world-war-1,World War I,IN,indiana,Allen County,allen-county,in_18003,2202 West Main St,Fort Wayne,46808,41.0794759,-85.1362929,true,260-747-5342,,http://www.davmembersportal.org/chapters/IN/40,,,,,,40,"Third, Saturday, 12:00PM","2202 West Main St, Fort Wayne, IN 46808",,
DAV Chapter 42 - Marshall County #42,dav-chapter-42-in,local,Chapter 42,dav,DAV,world-war-1,World War I,IN,indiana,Starke County,starke-county,in_18149,1305 W. Harrison,Plymouth,46563,,,false,574-780-8956,,http://www.davmembersportal.org/chapters/IN/42,,,,,,42,"First, Wednesday, 3:30PM","1305 W. Harrison, Plymouth, IN 46563",,
DAV Chapter 43 - Baron Dekalb Mem #43,dav-chapter-43-in,local,Chapter 43,dav,DAV,world-war-1,World War I,IN,indiana,Steuben County,steuben-county,in_18151,223 Michigan Ave,Corunna,46730,,,false,260-357-3188,,http://www.davmembersportal.org/chapters/IN/43,,,,,,43,"3rd Wednesday, 7:30 PM","223 Michigan Ave, Corunna, IN 46730",defunct,2026-04-29
DAV Chapter 52 - John H Weiss #52,dav-chapter-52-in,local,Chapter 52,dav,DAV,world-war-1,World War I,IN,indiana,Johnson County,johnson-county,in_18081,170 Airport Parkway,Greenwood,46143,39.777862,-86.18698200000001,true,317-986-4517,,http://www.davmembersportal.org/chapters/IN/52,,,,,,52,"1st Tuesday, 7:00 PM","170 Airport Parkway, Greenwood, IN 46143",defunct,2026-04-29
DAV Chapter 60 - Joseph Young #60,dav-chapter-60-in,local,Chapter 60,dav,DAV,world-war-1,World War I,IN,indiana,Johnson County,johnson-county,in_18081,170 Airport Parkway Suite A,Greenwood,46143,,,false,317-625-6369,,http://www.davmembersportal.org/chapters/IN/60,,,,,,60,"Third, Thursday, 6:00PM","170 Airport Parkway Suite A, Greenwood, IN 46143",,
DAV Chapter 72 - Salem #72,dav-chapter-72-in,local,Chapter 72,dav,DAV,world-war-1,World War I,IN,indiana,Washington County,washington-county,in_18175,197 W. Hugh Veteran Dr,Salem,47167,,,false,812-883-2063,,http://www.davmembersportal.org/chapters/IN/72,,,,,,72,"Second, Thursday, 5:00PM","197 W. Hugh Veteran Dr, Salem, IN 47167",,
DAV Chapter 77 - Dubois County #77,dav-chapter-77-in,local,Chapter 77,dav,DAV,world-war-1,World War I,IN,indiana,Dubois County,dubois-county,in_18037,3131 Newton St,Jasper,47546,38.4052,-86.93733,true,812-482-2234,,http://www.davmembersportal.org/chapters/IN/77,,,,,,77,"Second, Thursday, 6:30PM","3131 Newton St, Jasper, IN 47546",,
DAV Chapter 80 - Crown Point #80,dav-chapter-80-in,local,Chapter 80,dav,DAV,world-war-1,World War I,IN,indiana,Lake County,lake-county,in_18089,13050 Washington St,Cedar Lake,46303,,,false,219-386-2282,,http://www.davmembersportal.org/chapters/IN/80,,,,,,80,"Second, Friday, 6:00PM","13050 Washington St, Cedar Lake, IN 46303",,
DAV Chapter 90 - Franklin County #90,dav-chapter-90-in,local,Chapter 90,dav,DAV,world-war-1,World War I,IN,indiana,Franklin County,franklin-county,in_18047,26 W 8th St,Brookville,47012,39.42346089999999,-85.0139234,true,513-314-4485,,http://www.davmembersportal.org/chapters/IN/90,,,,,,90,"4th Sunday, 3:00 PM","26 W 8th St, Brookville, IN 47012",defunct,2026-04-29
DAV Chapter 102 - Valparaiso #102,dav-chapter-102-in,local,Chapter 102,dav,DAV,world-war-1,World War I,IN,indiana,Porter County,porter-county,in_18127,805 Elm St,Valparaiso,46383,41.4749643,-87.0473173,true,219-200-0404,,http://www.davmembersportal.org/chapters/IN/102,,,,,,102,"First, Friday, 6:30PM","805 Elm St, Valparaiso, IN 46383",,
DAV Chapter 103 - Montgomery County #103,dav-chapter-103-in,local,Chapter 103,dav,DAV,world-war-1,World War I,IN,indiana,,,in_unknown,101 Walter Remley Dr,Crawfordsville,47933,,,false,765-401-6875,,http://www.davmembersportal.org/chapters/IN/103,,,,,,103,"Third, Saturday, 10:30AM","101 Walter Remley Dr, Crawfordsville, IN 47933",,
DAV Chapter 3 - Topeka #3,dav-chapter-3-ks,local,Chapter 3,dav,DAV,world-war-1,World War I,KS,kansas,Shawnee County,shawnee-county,ks_20177,2021 SW Moundview Dr,Topeka,66604,39.0303315,-95.72930339999999,true,785-249-1667,,http://www.davmembersportal.org/chapters/KS/03,,,,,,3,"Third, Thursday, 7:00PM","2021 SW Moundview Dr, Topeka, KS 66604",,
DAV Chapter 4 - Wichita #4,dav-chapter-4-ks,local,Chapter 4,dav,DAV,world-war-1,World War I,KS,kansas,,,ks_unknown,3015 S George Washington Blvd,Wichita,67210,,,false,316-262-6856,,http://www.davmembersportal.org/chapters/KS/04,,,,,,4,"Second, Tuesday, 7:00PM","3015 S George Washington Blvd, Wichita, KS 67210",,
DAV Chapter 5 - Southeast Kansas #5,dav-chapter-5-ks,local,Chapter 5,dav,DAV,world-war-1,World War I,KS,kansas,Neosho County,neosho-county,ks_20133,5100 W Main St,Parsons,67357,37.3403385,-95.2817925,true,620-778-0029,,http://www.davmembersportal.org/chapters/KS/05,,,,,,5,"Third, Tuesday, 6:30PM","5100 W Main St, Parsons, KS 67357",,
DAV Chapter 7 - James F Chism Memorial #7,dav-chapter-7-ks,local,Chapter 7,dav,DAV,world-war-1,World War I,KS,kansas,Wyandotte County,wyandotte-county,ks_20209,514 Cherokee St,Leavenworth,66048,39.3171117,-94.9154947,true,913-680-8212,,http://www.davmembersportal.org/chapters/KS/07,,,,,,7,"Second, Tuesday, 7:00PM","514 Cherokee St, Leavenworth, KS 66048",,
DAV Chapter 11 - Loren T Manning #11,dav-chapter-11-ks,local,Chapter 11,dav,DAV,world-war-1,World War I,KS,kansas,Saline County,saline-county,ks_20169,1108 W Crawford St,Salina,67401,38.827698,-97.6230088,true,785-201-7092,,http://www.davmembersportal.org/chapters/KS/11,,,,,,11,"Third, Monday, 7:00PM","1108 W Crawford St, Salina, KS 67401",,
DAV Chapter 16 - Pearl Harbor #16,dav-chapter-16-ks,local,Chapter 16,dav,DAV,world-war-1,World War I,KS,kansas,Geary County,geary-county,ks_20061,204 E 4th St,Junction City,66441,,,false,785-307-1636,,http://www.davmembersportal.org/chapters/KS/16,,,,,,16,"Third, Tuesday, 6:30PM","204 E 4th St, Junction City, KS 66441",,
DAV Chapter 18 - Fort Hays #18,dav-chapter-18-ks,local,Chapter 18,dav,DAV,world-war-1,World War I,KS,kansas,Ellis County,ellis-county,ks_20051,2106 Vine St,Hays,67601,,,false,785-259-8965,,http://www.davmembersportal.org/chapters/KS/18,,,,,,18,"Second, Tuesday, 6:00PM","2106 Vine St, Hays, KS 67601",,
DAV Chapter 27 - Great Bend #27,dav-chapter-27-ks,local,Chapter 27,dav,DAV,world-war-1,World War I,KS,kansas,Stafford County,stafford-county,ks_20185,1011 Kansas Ave,Great Bend,67530,,,false,620-793-7169,,http://www.davmembersportal.org/chapters/KS/27,,,,,,27,"1st Saturday, 11:00 AM","1011 Kansas Ave, Great Bend, KS 67530",defunct,2026-04-29
DAV Chapter 28 - Manhattan #28,dav-chapter-28-ks,local,Chapter 28,dav,DAV,world-war-1,World War I,KS,kansas,Wabaunsee County,wabaunsee-county,ks_20197,2901 W 32nd Ave,Manhattan,66502,,,false,520-732-1022,,http://www.davmembersportal.org/chapters/KS/28,,,,,,28,"Third, Monday, 7:00PM","2901 W 32nd Ave, Manhattan, KS 66502",,
DAV Chapter 33 - Coffeyville #33,dav-chapter-33-ks,local,Chapter 33,dav,DAV,world-war-1,World War I,KS,kansas,Montgomery County,montgomery-county,ks_20125,113 E Myrtle,Independence,67301,,,false,620-331-6010,,http://www.davmembersportal.org/chapters/KS/33,,,,,,33,"Third, Thursday, 5:00PM","113 E Myrtle, Independence, KS 67301",,
DAV Chapter 34 - Johnson County #34,dav-chapter-34-ks,local,Chapter 34,dav,DAV,world-war-1,World War I,KS,kansas,Johnson County,johnson-county,ks_20091,9025 Pflumm Rd,Lenexa,66215,38.9222899,-94.7427905,true,913-839-6034,,http://www.davmembersportal.org/chapters/KS/34,,,,,,34,"Third, Thursday, 7:00PM","9025 Pflumm Rd, Lenexa, KS 66215",,
DAV Chapter 1 - Lexington #1,dav-chapter-1-ky,local,Chapter 1,dav,DAV,world-war-1,World War I,KY,kentucky,Fayette County,fayette-county,ky_21067,1101 Red Mile Rd (Blue grass Army Depo)t,Lexington,40504,38.0393081,-84.52140039999999,true,859-582-3320,,http://www.davmembersportal.org/chapters/KY/01,,,,,,1,"First, Thursday, 12:00PM","1101 Red Mile Rd (Blue grass Army Depo)t, Lexington, KY 40504",,
DAV Chapter 3 - Elizabethtown #3,dav-chapter-3-ky,local,Chapter 3,dav,DAV,world-war-1,World War I,KY,kentucky,Hardin County,hardin-county,ky_21093,404 S Mulberry,Elizabethtown,42701,,,false,270-317-0833,,http://www.davmembersportal.org/chapters/KY/03,,,,,,3,"Second, Thursday, 6:30PM","404 S Mulberry, Elizabethtown, KY 42701",,
